"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"4943","369","1400000US06037181400","Census Tract 1814, Los Angeles County, California"
"3956","380","1400000US06037181500","Census Tract 1815, Los Angeles County, California"
"4631","376","1400000US06037181600","Census Tract 1816, Los Angeles County, California"
"3323","285","1400000US06037183101","Census Tract 1831.01, Los Angeles County, California"
"4355","329","1400000US06037183103","Census Tract 1831.03, Los Angeles County, California"
"2146","149","1400000US06037183104","Census Tract 1831.04, Los Angeles County, California"
"4155","353","1400000US06037183220","Census Tract 1832.20, Los Angeles County, California"
"3522","394","1400000US06037183221","Census Tract 1832.21, Los Angeles County, California"
"3493","366","1400000US06037183222","Census Tract 1832.22, Los Angeles County, California"
"3487","274","1400000US06037183300","Census Tract 1833, Los Angeles County, California"
"2531","200","1400000US06037183401","Census Tract 1834.01, Los Angeles County, California"
"3006","326","1400000US06037183402","Census Tract 1834.02, Los Angeles County, California"
"2577","321","1400000US06037183510","Census Tract 1835.10, Los Angeles County, California"
"3758","390","1400000US06037183520","Census Tract 1835.20, Los Angeles County, California"
"3215","270","1400000US06037183610","Census Tract 1836.10, Los Angeles County, California"
"3111","321","1400000US06037183620","Census Tract 1836.20, Los Angeles County, California"
"3720","307","1400000US06037183701","Census Tract 1837.01, Los Angeles County, California"
"2775","380","1400000US06037183702","Census Tract 1837.02, Los Angeles County, California"
"4163","429","1400000US06037183810","Census Tract 1838.10, Los Angeles County, California"
